Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate
64,8,8,487.656538,1.969231
64,9,8,487.656538,1.965451
64,9,9,109.353434,1.750427
64,10,8,487.656538,1.961686
64,10,9,109.353434,1.747440
64,10,10,27.247873,1.575385
64,11,8,487.656538,1.957935
64,11,9,109.353434,1.744463
64,11,10,27.247873,1.572965
64,11,11,6.799205,1.432168
64,12,8,487.656538,1.954198
64,12,9,109.353434,1.741497
64,12,10,27.247873,1.570552
64,12,11,6.799205,1.430168
64,12,12,1.699519,1.312821
64,13,8,487.656538,1.950476
64,13,9,109.353434,1.738540
64,13,10,27.247873,1.568147
64,13,11,6.799205,1.428173
64,13,12,1.699519,1.311140
64,13,13,0.425481,1.211834
64,14,8,487.656538,1.946768
64,14,9,109.353434,1.735593
64,14,10,27.247873,1.565749
64,14,11,6.799205,1.426184
64,14,12,1.699519,1.309463
64,14,13,0.425481,1.210402
64,14,14,0.106273,1.125275
64,15,8,487.656538,1.943074
64,15,9,109.353434,1.732657
64,15,10,27.247873,1.563359
64,15,11,6.799205,1.424200
64,15,12,1.699519,1.307791
64,15,13,0.425481,1.208973
64,15,14,0.106273,1.124040
64,15,15,0.026585,1.050256
64,16,8,487.656538,1.939394
64,16,9,109.353434,1.729730
64,16,10,27.247873,1.560976
64,16,11,6.799205,1.422222
64,16,12,1.699519,1.306122
64,16,13,0.425481,1.207547
64,16,14,0.106273,1.122807
64,16,15,0.026585,1.049180
64,16,16,0.006645,0.984615
75,8,8,488.570287,1.973684
75,9,8,488.570287,1.970443
75,9,9,109.543560,1.754386
75,10,8,488.570287,1.967213
75,10,9,109.543560,1.751825
75,10,10,27.300898,1.578947
75,11,8,488.570287,1.963993
75,11,9,109.543560,1.749271
75,11,10,27.300898,1.576873
75,11,11,6.809479,1.435407
75,12,8,488.570287,1.960784
75,12,9,109.543560,1.746725
75,12,10,27.300898,1.574803
75,12,11,6.809479,1.433692
75,12,12,1.701661,1.315789
75,13,8,488.570287,1.957586
75,13,9,109.543560,1.744186
75,13,10,27.300898,1.572739
75,13,11,6.809479,1.431981
75,13,12,1.701661,1.314348
75,13,13,0.426102,1.214575
75,14,8,488.570287,1.954397
75,14,9,109.543560,1.741655
75,14,10,27.300898,1.570681
75,14,11,6.809479,1.430274
75,14,12,1.701661,1.312910
75,14,13,0.426102,1.213347
75,14,14,0.106452,1.127820
75,15,8,488.570287,1.951220
75,15,9,109.543560,1.739130
75,15,10,27.300898,1.568627
75,15,11,6.809479,1.428571
75,15,12,1.701661,1.311475
75,15,13,0.426102,1.212121
75,15,14,0.106452,1.126761
75,15,15,0.026629,1.052632
75,16,8,488.570287,1.948052
75,16,9,109.543560,1.736614
75,16,10,27.300898,1.566580
75,16,11,6.809479,1.426873
75,16,12,1.701661,1.310044
75,16,13,0.426102,1.210898
75,16,14,0.106452,1.125704
