Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate,CR/EVM
64,16,13,"0,425481","1,207547","2,8380750257"
64,15,13,"0,425481","1,208973","2,8414265267"
64,14,13,"0,425481","1,210402","2,8447850785"
75,16,13,"0,426102","1,210898","2,8418031363"
64,13,13,"0,425481","1,211834","2,8481506812"
80,16,13,"0,426191","1,212121","2,8440792978"
75,15,13,"0,426102","1,212121","2,8446733411"
80,15,13,"0,426191","1,21327","2,8467752721"
75,14,13,"0,426102","1,213347","2,8475505865"
80,14,13,"0,426191","1,214421","2,8494759392"
75,13,13,"0,426102","1,214575","2,8504325255"
96,16,13,"0,427091","1,21519","2,8452718507"
80,13,13,"0,426191","1,215575","2,8521836454"
100,16,13,"0,427236","1,215805","2,8457456769"
96,15,13,"0,427091","1,216152","2,8475242981"
100,15,13,"0,427236","1,21673","2,8479107566"
96,14,13,"0,427091","1,217116","2,8497814283"
100,14,13,"0,427236","1,217656","2,8500781769"
96,13,13,"0,427091","1,218081","2,8520408999"
120,16,13,"0,428211","1,218274","2,8450320052"
100,13,13,"0,427236","1,218583","2,8522479379"
128,16,13,"0,428885","1,219048","2,8423656691"
120,15,13,"0,428211","1,219048","2,8468395254"
128,15,13,"0,428885","1,219774","2,8440584306"
120,14,13,"0,428211","1,219822","2,8486470455"
128,14,13,"0,428885","1,220501","2,8457535237"
120,13,13,"0,428211","1,220598","2,8504592362"
150,16,13,"0,430152","1,220753","2,8379572802"
128,13,13,"0,428885","1,221228","2,8474486168"
160,16,13,"0,431281","1,221374","2,8319680208"
150,15,13,"0,430152","1,221374","2,8394009559"
160,15,13,"0,431281","1,221957","2,8333198077"
150,14,13,"0,430152","1,221996","2,8408469564"
160,14,13,"0,431281","1,222541","2,8346739133"
150,13,13,"0,430152","1,222618","2,8422929569"
192,16,13,"0,433557","1,22293","2,8206902437"
160,13,13,"0,431281","1,223125","2,8360280189"
200,16,13,"0,434057","1,223242","2,8181598269"
192,15,13,"0,433557","1,223417","2,8218135101"
200,15,13,"0,434057","1,223709","2,8192357225"
192,14,13,"0,433557","1,223904","2,8229367765"
200,14,13,"0,434057","1,224178","2,8203162257"
192,13,13,"0,433557","1,224392","2,8240623494"
240,16,13,"0,436652","1,22449","2,8042697617"
200,13,13,"0,434057","1,224646","2,8213944252"
256,16,13,"0,437931","1,22488","2,796970299"
240,15,13,"0,436652","1,22488","2,8051629215"
256,15,13,"0,437931","1,225247","2,7978083305"
240,14,13,"0,436652","1,225271","2,8060583714"
256,14,13,"0,437931","1,225613","2,7986440786"
240,13,13,"0,436652","1,225662","2,8069538213"
300,16,13,"0,440923","1,225741","2,7799434368"
256,13,13,"0,437931","1,22598","2,7994821102"
320,16,13,"0,442685","1,226054","2,769585597"
300,15,13,"0,440923","1,226054","2,7806533113"
320,15,13,"0,442685","1,226347","2,7702474672"
300,14,13,"0,440923","1,226367","2,7813631859"
320,14,13,"0,442685","1,226641","2,7709115963"
300,13,13,"0,440923","1,22668","2,7820730604"
384,16,13,"0,447209","1,226837","2,7433191192"
320,13,13,"0,442685","1,226935","2,7715757254"
400,16,13,"0,448572","1,226994","2,7353334582"
384,15,13,"0,447209","1,227082","2,7438669615"
400,15,13,"0,448572","1,227229","2,7358573429"
384,14,13,"0,447209","1,227327","2,7444148038"
400,14,13,"0,448572","1,227465","2,7363834568"
384,13,13,"0,447209","1,227572","2,7449626461"
480,16,13,"0,453498","1,227621","2,7070042205"
400,13,13,"0,448572","1,2277","2,7369073415"
512,16,13,"0,456209","1,227818","2,691349798"
480,15,13,"0,453498","1,227818","2,7074386216"
512,15,13,"0,456209","1,228002","2,6917531219"
480,14,13,"0,453498","1,228014","2,7078708175"
512,14,13,"0,456209","1,228186","2,6921564458"
480,13,13,"0,453498","1,22821","2,7083030135"
600,16,13,"0,462124","1,22825","2,6578364249"
512,13,13,"0,456209","1,22837","2,6925597698"
640,16,13,"0,465713","1,228407","2,6376910243"
600,15,13,"0,462124","1,228407","2,6581761605"
640,15,13,"0,465713","1,228554","2,6380066693"
600,14,13,"0,462124","1,228564","2,6585158962"
640,14,13,"0,465713","1,228702","2,6383244616"
600,13,13,"0,462124","1,228721","2,6588556318"
768,16,13,"0,474491","1,2288","2,5897224605"
640,13,13,"0,465713","1,228849","2,6386401067"
800,16,13,"0,477663","1,228879","2,5726903696"
768,15,13,"0,474491","1,228923","2,5899816856"
800,15,13,"0,477663","1,228997","2,5729374057"
768,14,13,"0,474491","1,229046","2,5902409108"
800,14,13,"0,477663","1,229115","2,5731844418"
768,13,13,"0,474491","1,229169","2,5905001359"
960,16,13,"0,483914","1,229193","2,5401062999"
800,13,13,"0,477663","1,229233","2,5734314778"
1024,16,13,"0,490277","1,229292","2,507341768"
960,15,13,"0,483914","1,229292","2,5403108817"
1024,15,13,"0,490277","1,229384","2,507529417"
960,14,13,"0,483914","1,22939","2,540513397"
1024,14,13,"0,490277","1,229476","2,5077170661"
960,13,13,"0,483914","1,229489","2,5407179788"
1200,16,13,"0,503624","1,229508","2,4413213032"
1024,13,13,"0,490277","1,229568","2,5079047151"
1280,16,13,"0,50614","1,229587","2,4293416841"
1200,15,13,"0,503624","1,229587","2,4414781663"
1280,15,13,"0,50614","1,229661","2,4294878887"
1200,14,13,"0,503624","1,229666","2,4416350293"
